日付,商品カテゴリ名,総売上個数,総売上金額,単価平均
2018-01-06,ゲーム - ゲーム機C,189,496330,2563.583815028902
2018-01-06,映画 - ブルーレイ,144,130240,917.0866141732283
2018-01-06,ゲーム - ゲーム機B,130,412220,3165.677966101695
2018-01-06,ギフト - 小型ゲーム,64,32540,526.6666666666666
2018-01-06,ギフト - カード、パズル等,72,66450,926.969696969697
2018-01-06,ギフト - フィギュア,18,40760,2237.6470588235293
2018-01-06,PCソフト - PCソフト,44,114370,2740.4761904761904
2018-01-06,映画 - ブルーレイ3D,81,131350,1580.6849315068494
2018-01-06,ギフト - ぬいぐるみ,49,43490,906.5909090909091
2018-01-06,ゲーム - ゲーム機A,136,144580,1066.774193548387
2018-01-06,映画 - セット商品,40,88720,2432.1428571428573
2018-01-06,ギフト - ボードゲーム,31,46280,1508.6666666666667
2018-01-06,音楽 - CD,47,23060,490.2173913043478
2018-01-06,ギフト - ガジェット類,57,71550,1334.8076923076924
2018-01-06,本 - オーディオブック_タイプA,31,16630,536.4516129032259
2018-01-06,ギフト - 記念品_タイプA,12,13800,1177.2727272727273
2018-01-06,ギフト - 記念品_タイプB,46,37810,775.7142857142857
2018-01-06,本 - 教育用,7,4550,650.0
2018-01-06,ゲーム - 付属品(購入特典),25,31820,1244.5833333333333
2018-01-06,ゲーム周辺機器 - ゲーム機B,24,67200,2884.782608695652
2018-01-06,音楽 - レコード,9,22300,2477.777777777778
2018-01-06,ゲーム周辺機器 - ゲーム機A,21,44050,2097.6190476190477
2018-01-06,本 - オーディオブック_タイプB,10,4210,421.0
2018-01-07,映画 - DVD,753,337970,426.6969696969697
2018-01-07,PCゲーム - 通常版,515,344870,651.8666666666667
2018-01-07,音楽 - その他,297,133310,448.8235294117647
2018-01-07,ゲーム - ゲーム機C,164,452930,2737.987421383648
2018-01-07,映画 - ブルーレイ,146,127930,871.6417910447761
2018-01-07,ゲーム - ゲーム機B,108,347150,3169.8958333333335
2018-01-07,ギフト - 小型ゲーム,53,27800,555.9090909090909
2018-01-07,ギフト - カード、パズル等,73,59740,838.0882352941177
2018-01-07,ギフト - フィギュア,14,34610,2472.1428571428573
2018-01-07,PCソフト - PCソフト,35,108520,3247.5
2018-01-07,映画 - ブルーレイ3D,43,78260,1824.3902439024391
2018-01-07,ギフト - ぬいぐるみ,41,39860,969.7368421052631
2018-01-07,ゲーム - ゲーム機A,118,120610,1031.6666666666667
2018-01-07,映画 - セット商品,39,87580,2280.2631578947367
2018-01-07,ギフト - ボードゲーム,35,53620,1545.5882352941176
2018-01-07,音楽 - CD,40,20170,504.5238095238095
2018-01-07,ギフト - ガジェット類,41,38380,958.7878787878788
2018-01-07,本 - オーディオブック_タイプA,22,9930,451.3636363636364
2018-01-07,ギフト - 記念品_タイプA,17,19120,1138.6666666666667
2018-01-07,ギフト - 記念品_タイプB,33,26510,769.4736842105264
2018-01-07,本 - 教育用,5,8320,1664.0
2018-01-07,ゲーム - 付属品(購入特典),23,35150,1528.2608695652175
2018-01-07,ゲーム周辺機器 - ゲーム機B,24,61720,2625.2380952380954
2018-01-07,音楽 - レコード,0,-680,2120.0
2018-01-07,ゲーム周辺機器 - ゲーム機A,11,25210,2291.818181818182
2018-01-07,本 - オーディオブック_タイプB,6,2740,434.44444444444446
2018-01-08,映画 - DVD,809,335920,391.79806362378974
2018-01-08,PCゲーム - 通常版,473,308560,632.4047619047619
2018-01-08,音楽 - その他,254,122110,478.40637450199205
2018-01-08,ゲーム - ゲーム機C,156,413470,2640.3424657534247
2018-01-08,映画 - ブルーレイ,123,125970,993.5433070866142
2018-01-08,ゲーム - ゲーム機B,94,307890,3258.777777777778
2018-01-08,ギフト - 小型ゲーム,51,21160,427.22222222222223
2018-01-08,ギフト - カード、パズル等,47,48850,1051.5555555555557
2018-01-08,ギフト - フィギュア,9,18510,2056.6666666666665
2018-01-08,PCソフト - PCソフト,49,122440,2726.0
2018-01-08,映画 - ブルーレイ3D,45,81060,1717.4468085106382
2018-01-08,ギフト - ぬいぐるみ,35,36150,1031.764705882353
2018-01-08,ゲーム - ゲーム機A,95,94080,996.1797752808989
2018-01-08,映画 - セット商品,36,88040,2301.025641025641
2018-01-08,ギフト - ボードゲーム,26,41700,1558.0
2018-01-08,音楽 - CD,20,10040,502.0
2018-01-08,ギフト - ガジェット類,34,61330,1929.032258064516
2018-01-08,本 - オーディオブック_タイプA,27,17650,653.7037037037037
2018-01-08,ギフト - 記念品_タイプA,9,10030,1114.4444444444443
2018-01-08,ギフト - 記念品_タイプB,25,19520,754.2857142857143
2018-01-08,本 - 教育用,9,6130,681.1111111111111
2018-01-08,ゲーム - 付属品(購入特典),21,28240,1340.5
2018-01-08,ゲーム周辺機器 - ゲーム機B,31,72960,2426.0
2018-01-08,音楽 - レコード,4,7900,1975.0
2018-01-08,ゲーム周辺機器 - ゲーム機A,15,25270,1787.142857142857
2018-01-08,本 - オーディオブック_タイプB,14,6330,447.6923076923077
2018-01-09,映画 - DVD,401,158820,378.49604221635883
2018-01-09,PCゲーム - 通常版,347,226810,642.3870967741935
2018-01-09,音楽 - その他,238,102920,430.8225108225108
2018-01-09,ゲーム - ゲーム機C,114,301720,2635.3508771929824
2018-01-09,映画 - ブルーレイ,76,75700,998.6301369863014
2018-01-09,ゲーム - ゲーム機B,63,207890,3326.8253968253966
2018-01-09,ギフト - 小型ゲーム,28,18090,644.7619047619048
2018-01-09,ギフト - カード、パズル等,37,28020,751.2121212121212
2018-01-09,ギフト - フィギュア,16,38620,2413.75
2018-01-09,PCソフト - PCソフト,46,118030,2692.0
2018-01-09,映画 - ブルーレイ3D,20,34370,1718.5
2018-01-09,ギフト - ぬいぐるみ,12,11330,999.0
2018-01-09,ゲーム - ゲーム機A,49,47430,956.25
2018-01-09,映画 - セット商品,29,69180,2385.5172413793102
2018-01-09,ギフト - ボードゲーム,10,11480,1148.0
2018-01-09,音楽 - CD,23,12040,523.4782608695652
2018-01-09,ギフト - ガジェット類,32,37360,1192.6666666666667
2018-01-09,本 - オーディオブック_タイプA,12,5900,491.6666666666667
2018-01-09,ギフト - 記念品_タイプA,7,7560,1080.0
2018-01-09,ギフト - 記念品_タイプB,14,10420,740.0
2018-01-09,本 - 教育用,24,17200,750.0
2018-01-09,ゲーム - 付属品(購入特典),7,9570,1367.142857142857
2018-01-09,ゲーム周辺機器 - ゲーム機B,16,31570,1973.125
2018-01-09,音楽 - レコード,5,17760,3552.0
2018-01-09,ゲーム周辺機器 - ゲーム機A,10,23040,2304.0
2018-01-09,本 - オーディオブック_タイプB,3,1070,356.6666666666667
2018-01-10,映画 - DVD,396,157250,388.1151832460733
2018-01-10,PCゲーム - 通常版,282,188810,665.0
2018-01-10,音楽 - その他,211,94160,444.7761194029851
2018-01-10,ゲーム - ゲーム機C,107,287720,2711.1428571428573
2018-01-10,映画 - ブルーレイ,102,89160,874.1176470588235
2018-01-10,ゲーム - ゲーム機B,57,189360,3286.315789473684
2018-01-10,ギフト - 小型ゲーム,30,16310,559.1304347826087
2018-01-10,ギフト - カード、パズル等,29,24260,841.8518518518518
2018-01-10,ギフト - フィギュア,8,14260,1782.5
2018-01-10,PCソフト - PCソフト,51,130180,2782.8571428571427
2018-01-10,映画 - ブルーレイ3D,38,65700,1761.388888888889
2018-01-10,ギフト - ぬいぐるみ,26,22930,881.9230769230769
2018-01-10,ゲーム - ゲーム機A,55,53420,970.1960784313726
2018-01-10,映画 - セット商品,28,52460,1933.7037037037037
2018-01-10,ギフト - ボードゲーム,14,23010,1643.5714285714287
2018-01-10,音楽 - CD,27,13600,503.7037037037037
2018-01-10,ギフト - ガジェット類,27,40030,1520.0
2018-01-10,本 - オーディオブック_タイプA,32,17770,555.3125
2018-01-10,ギフト - 記念品_タイプA,7,8240,1177.142857142857
2018-01-10,ギフト - 記念品_タイプB,10,6940,637.5
2018-01-10,本 - 教育用,7,4900,675.0
2018-01-10,ゲーム - 付属品(購入特典),22,25310,1160.952380952381
2018-01-10,ゲーム周辺機器 - ゲーム機B,22,51290,2491.6666666666665
2018-01-10,音楽 - レコード,4,7730,1932.5
2018-01-10,ゲーム周辺機器 - ゲーム機A,8,21640,2705.0
2018-01-10,本 - オーディオブック_タイプB,5,2220,444.0
2018-01-11,映画 - DVD,558,229770,396.96911196911196
2018-01-11,PCゲーム - 通常版,321,226360,682.8421052631579
2018-01-11,音楽 - その他,227,99800,432.5925925925926
2018-01-11,ゲーム - ゲーム機C,123,380670,3058.9166666666665
2018-01-11,映画 - ブルーレイ,131,130110,1006.1788617886178
2018-01-11,ゲーム - ゲーム機B,64,214700,3355.245901639344
2018-01-11,ギフト - 小型ゲーム,54,29330,524.0
2018-01-11,ギフト - カード、パズル等,43,33170,771.3953488372093
2018-01-11,ギフト - フィギュア,18,41440,2302.222222222222
2018-01-11,PCソフト - PCソフト,43,97580,2312.0
2018-01-11,映画 - ブルーレイ3D,32,51770,1821.590909090909
2018-01-11,ギフト - ぬいぐるみ,31,29460,971.6666666666666
2018-01-11,ゲーム - ゲーム機A,49,51250,1051.276595744681
2018-01-11,映画 - セット商品,44,85990,1983.953488372093
2018-01-11,ギフト - ボードゲーム,17,43010,2530.0
2018-01-11,音楽 - CD,34,16380,483.6363636363636
2018-01-11,ギフト - ガジェット類,34,57090,2028.75
2018-01-11,本 - オーディオブック_タイプA,24,11780,490.8333333333333
2018-01-11,ギフト - 記念品_タイプA,7,8410,1201.4285714285713
2018-01-11,ギフト - 記念品_タイプB,23,17100,717.0
2018-01-11,本 - 教育用,22,16170,735.0
2018-01-11,ゲーム - 付属品(購入特典),8,10110,1263.75
2018-01-11,ゲーム周辺機器 - ゲーム機B,20,35500,1826.6666666666667
2018-01-11,音楽 - レコード,3,7140,2380.0
2018-01-11,ゲーム周辺機器 - ゲーム機A,24,55650,2272.608695652174
2018-01-11,本 - オーディオブック_タイプB,12,4970,414.1666666666667
2018-01-12,映画 - DVD,860,359810,394.4736842105263
2018-01-12,PCゲーム - 通常版,493,343390,667.2813238770685
2018-01-12,音楽 - その他,348,164220,471.93548387096774
2018-01-12,ゲーム - ゲーム機C,148,419430,2852.9285714285716
2018-01-12,映画 - ブルーレイ,173,152980,879.108280254777
2018-01-12,ゲーム - ゲーム機B,86,272520,3203.2098765432097
2018-01-12,ギフト - 小型ゲーム,71,29280,475.8974358974359
2018-01-12,ギフト - カード、パズル等,79,63260,808.3561643835617
2018-01-12,ギフト - フィギュア,33,78500,2375.0
2018-01-12,PCソフト - PCソフト,46,127360,2937.2972972972975
2018-01-12,映画 - ブルーレイ3D,43,65090,1499.3333333333333
2018-01-12,ギフト - ぬいぐるみ,36,40360,1114.6666666666667
2018-01-12,ゲーム - ゲーム機A,110,107750,969.3269230769231
2018-01-12,映画 - セット商品,40,62920,1573.0
2018-01-12,ギフト - ボードゲーム,28,41920,1512.2222222222222
2018-01-12,音楽 - CD,36,17300,480.55555555555554
2018-01-12,ギフト - ガジェット類,48,78470,1710.4651162790697
2018-01-12,本 - オーディオブック_タイプA,28,13060,466.42857142857144
2018-01-12,ギフト - 記念品_タイプA,14,15890,1120.0
2018-01-12,ギフト - 記念品_タイプB,26,20970,756.1111111111111
2018-01-12,本 - 教育用,17,13190,791.3333333333334
2018-01-12,ゲーム - 付属品(購入特典),21,29730,1440.0
2018-01-12,ゲーム周辺機器 - ゲーム機B,20,35610,2000.0
2018-01-12,音楽 - レコード,7,13170,1881.4285714285713
2018-01-12,ゲーム周辺機器 - ゲーム機A,18,30520,1680.0
2018-01-12,本 - オーディオブック_タイプB,11,4890,444.54545454545456
2018-01-13,映画 - DVD,652,276810,400.94017094017096
2018-01-13,PCゲーム - 通常版,431,287420,646.1578947368421
2018-01-13,音楽 - その他,289,137710,475.12455516014234
2018-01-13,ゲーム - ゲーム機C,140,374870,2604.9242424242425
2018-01-13,映画 - ブルーレイ,117,107510,933.4545454545455
2018-01-13,ゲーム - ゲーム機B,88,280000,3144.8809523809523
2018-01-13,ギフト - 小型ゲーム,38,20540,557.6923076923077
2018-01-13,ギフト - カード、パズル等,42,44100,1038.2926829268292
2018-01-13,ギフト - フィギュア,17,37050,2179.4117647058824
2018-01-13,PCソフト - PCソフト,45,131880,3292.285714285714
2018-01-13,映画 - ブルーレイ3D,45,75440,1693.409090909091
2018-01-13,ギフト - ぬいぐるみ,32,35210,1126.551724137931
2018-01-13,ゲーム - ゲーム機A,98,98440,993.0769230769231
2018-01-13,映画 - セット商品,53,97530,2222.5
2018-01-13,ギフト - ボードゲーム,20,30710,1563.6842105263158
2018-01-13,音楽 - CD,33,14670,454.0
2018-01-13,ギフト - ガジェット類,34,39990,1233.103448275862
2018-01-13,本 - オーディオブック_タイプA,45,26250,583.3333333333334
2018-01-13,ギフト - 記念品_タイプA,9,10960,1217.7777777777778
2018-01-13,ギフト - 記念品_タイプB,31,24540,778.3333333333334
2018-01-13,本 - 教育用,9,6080,675.5555555555555
2018-01-13,ゲーム - 付属品(購入特典),22,28430,1313.8095238095239
2018-01-13,ゲーム周辺機器 - ゲーム機B,17,37890,2164.285714285714
2018-01-13,音楽 - レコード,4,8240,2060.0
2018-01-13,ゲーム周辺機器 - ゲーム機A,19,27810,1488.888888888889
2018-01-13,本 - オーディオブック_タイプB,8,2580,322.5
2018-01-14,映画 - DVD,360,140360,378.5269121813031
2018-01-14,PCゲーム - 通常版,272,195550,692.2727272727273
2018-01-14,音楽 - その他,153,70530,460.98039215686276
2018-01-14,ゲーム - ゲーム機C,93,247090,2669.1304347826085
2018-01-14,映画 - ブルーレイ,90,87600,974.5555555555555
2018-01-14,ゲーム - ゲーム機B,47,158960,3396.8888888888887
2018-01-14,ギフト - 小型ゲーム,16,9680,582.5
2018-01-14,ギフト - カード、パズル等,32,37670,1198.7096774193549
2018-01-14,ギフト - フィギュア,5,10790,2017.5
2018-01-14,PCソフト - PCソフト,41,118000,2931.5789473684213
2018-01-14,映画 - ブルーレイ3D,22,32630,1483.1818181818182
2018-01-14,ギフト - ぬいぐるみ,9,8880,986.6666666666666
2018-01-14,ゲーム - ゲーム機A,41,43710,1080.0
2018-01-14,映画 - セット商品,26,39830,1531.923076923077
2018-01-14,ギフト - ボードゲーム,15,27510,1928.5714285714287
2018-01-14,音楽 - CD,14,6450,460.7142857142857
2018-01-14,ギフト - ガジェット類,18,40840,2268.8888888888887
2018-01-14,本 - オーディオブック_タイプA,20,9510,475.5
2018-01-14,ギフト - 記念品_タイプA,5,6200,1240.0
2018-01-14,ギフト - 記念品_タイプB,8,6480,810.0
2018-01-14,本 - 教育用,18,10310,571.7647058823529
2018-01-14,ゲーム - 付属品(購入特典),15,15740,1049.3333333333333
2018-01-14,ゲーム周辺機器 - ゲーム機B,16,40160,2565.0
2018-01-14,音楽 - レコード,2,7220,3610.0
2018-01-14,ゲーム周辺機器 - ゲーム機A,4,6270,1567.5
2018-01-14,本 - オーディオブック_タイプB,1,420,420.0
2018-01-15,映画 - DVD,407,158880,372.133676092545
2018-01-15,PCゲーム - 通常版,292,197340,666.0687022900763
2018-01-15,音楽 - その他,216,99580,461.8779342723005
2018-01-15,ゲーム - ゲーム機C,248,848260,2900.6944444444443
2018-01-15,映画 - ブルーレイ,78,65490,807.4324324324324
2018-01-15,ゲーム - ゲーム機B,76,283450,3541.2280701754385
2018-01-15,ギフト - 小型ゲーム,14,6980,521.8181818181819
2018-01-15,ギフト - カード、パズル等,58,38540,869.5121951219512
2018-01-15,ギフト - フィギュア,7,15860,2265.714285714286
2018-01-15,PCソフト - PCソフト,46,91040,2046.0
2018-01-15,映画 - ブルーレイ3D,27,54550,1999.1666666666667
2018-01-15,ギフト - ぬいぐるみ,6,8540,1423.3333333333333
2018-01-15,ゲーム - ゲーム機A,49,49080,1006.1702127659574
2018-01-15,映画 - セット商品,19,37300,1963.157894736842
2018-01-15,ギフト - ボードゲーム,12,21580,1798.3333333333333
2018-01-15,音楽 - CD,25,15690,627.6
2018-01-15,ギフト - ガジェット類,20,55240,2489.4117647058824
2018-01-15,本 - オーディオブック_タイプA,29,13580,468.2758620689655
2018-01-15,ギフト - 記念品_タイプA,9,10030,1105.0
2018-01-15,ギフト - 記念品_タイプB,14,10210,729.2857142857143
2018-01-15,本 - 教育用,24,17360,658.8
2018-01-15,ゲーム - 付属品(購入特典),4,4740,1185.0
2018-01-15,ゲーム周辺機器 - ゲーム機B,12,20200,1759.090909090909
2018-01-15,音楽 - レコード,1,1530,1530.0
2018-01-15,ゲーム周辺機器 - ゲーム機A,11,20080,1983.0
2018-01-15,本 - オーディオブック_タイプB,5,2190,438.0
2018-01-16,映画 - DVD,406,165600,398.11369509043925
2018-01-16,PCゲーム - 通常版,238,162350,673.4615384615385
2018-01-16,音楽 - その他,198,90550,455.6060606060606
2018-01-16,ゲーム - ゲーム機C,181,598540,2934.921875
2018-01-16,映画 - ブルーレイ,81,68380,817.9761904761905
2018-01-16,ゲーム - ゲーム機B,82,279590,3306.8571428571427
2018-01-16,ギフト - 小型ゲーム,23,13350,579.5
2018-01-16,ギフト - カード、パズル等,37,40390,1093.611111111111
2018-01-16,ギフト - フィギュア,10,20210,2021.0
2018-01-16,PCソフト - PCソフト,45,125490,3028.9473684210525
2018-01-16,映画 - ブルーレイ3D,25,38060,1508.2608695652175
2018-01-16,ギフト - ぬいぐるみ,16,18180,1136.25
2018-01-16,ゲーム - ゲーム機A,33,31720,973.5483870967741
2018-01-16,映画 - セット商品,30,78310,2610.3333333333335
2018-01-16,ギフト - ボードゲーム,7,11740,1677.142857142857
2018-01-16,音楽 - CD,19,7650,402.63157894736844
2018-01-16,ギフト - ガジェット類,24,38080,1611.904761904762
2018-01-16,本 - オーディオブック_タイプA,35,19120,546.2857142857143
2018-01-16,ギフト - 記念品_タイプA,4,4690,1172.5
2018-01-16,ギフト - 記念品_タイプB,16,12150,736.4285714285714
2018-01-16,本 - 教育用,18,12770,721.1764705882352
2018-01-16,ゲーム - 付属品(購入特典),17,20660,1215.2941176470588
2018-01-16,ゲーム周辺機器 - ゲーム機B,12,34030,2954.5454545454545
2018-01-16,音楽 - レコード,10,27770,2777.0
2018-01-16,ゲーム周辺機器 - ゲーム機A,15,27800,1853.3333333333333
2018-01-16,本 - オーディオブック_タイプB,11,4400,400.0
2018-01-17,映画 - DVD,445,173410,381.3317757009346
2018-01-17,PCゲーム - 通常版,258,174800,669.4560669456067
2018-01-17,音楽 - その他,178,80200,450.62857142857143
2018-01-17,ゲーム - ゲーム機C,173,504080,2737.671232876712
2018-01-17,映画 - ブルーレイ,102,75710,745.8762886597938
2018-01-17,ゲーム - ゲーム機B,75,243990,3149.5384615384614
2018-01-17,ギフト - 小型ゲーム,32,16890,492.962962962963
2018-01-17,ギフト - カード、パズル等,34,32910,992.1212121212121
2018-01-17,ギフト - フィギュア,8,15720,1965.0
2018-01-17,PCソフト - PCソフト,44,105400,2360.0
2018-01-17,映画 - ブルーレイ3D,31,52860,1705.1612903225807
2018-01-17,ギフト - ぬいぐるみ,16,18900,1181.25
2018-01-17,ゲーム - ゲーム機A,41,41170,1004.1463414634146
2018-01-17,映画 - セット商品,33,43730,1360.3125
2018-01-17,ギフト - ボードゲーム,23,41290,1830.4545454545455
2018-01-17,音楽 - CD,25,11320,452.8
2018-01-17,ギフト - ガジェット類,16,19450,1417.6923076923076
